sujeto_qid,entidad,relacion,valor,valor_es,valor_qid
Q1046768,música popular brasileña,país de origen,Brasil,Brasil,Q155
Q1455932,Frevo,instancia de,género musical,género musical,Q188451
Q505343,Jongo,instancia de,género musical,género musical,Q188451
Q834959,Samba rock,subclase de,samba,samba,Q11403
Q430075,Maxixe,instancia de,género musical,género musical,Q188451
Q1335045,embolada,subclase de,coco,coco,Q502448
Q1036183,carimbó,instancia de,ritmo,ritmo,Q170406
Q504476,Ciranda,país de origen,Brasil,Brasil,Q155
Q1036183,carimbó,instancia de,género musical,género musical,Q188451
Q11403,samba,instancia de,género musical,género musical,Q188451
Q1046768,música popular brasileña,instancia de,escena de música,escena de música,Q28820001
Q1413061,tropicalismo,instancia de,género musical,género musical,Q188451
Q533946,Lambada,instancia de,género musical,género musical,Q188451
Q586110,Forró,instancia de,patrimonio cultural,patrimonio cultural,Q210272
Q834959,Samba rock,país de origen,Brasil,Brasil,Q155
Q1130969,fandango,subclase de,música folclórica española,música folclórica española,Q9048257
Q383530,afoxê,instancia de,género musical,género musical,Q188451
Q486263,bossa nova,subclase de,música popular,música popular,Q373342
Q1455932,Frevo,instancia de,patrimonio cultural,patrimonio cultural,Q210272
Q502808,xote,subclase de,música brasileña,música brasileña,Q899215
Q486263,bossa nova,instancia de,género musical,género musical,Q188451
Q1076539,choro,instancia de,género musical,género musical,Q188451
Q1435485,axé,subclase de,música brasileña,música brasileña,Q899215
Q502448,coco,subclase de,música brasileña,música brasileña,Q899215
Q1130969,fandango,instancia de,forma musical,forma musical,Q862597
Q505343,Jongo,instancia de,patrimonio cultural,patrimonio cultural,Q210272
Q502808,xote,instancia de,tipo de baile,tipo de baile,Q107357104
Q1036183,carimbó,instancia de,patrimonio cultural,patrimonio cultural,Q210272
Q502808,xote,subclase de,baile de Brasil,baile de Brasil,Q10264148
Q505343,Jongo,subclase de,danza,danza,Q11639
Q586110,Forró,país de origen,Brasil,Brasil,Q155
Q1413061,tropicalismo,instancia de,movimiento cultural,movimiento cultural,Q2198855
Q1130969,fandango,país de origen,Brasil,Brasil,Q155
Q1413061,tropicalismo,subclase de,música popular brasileña,música popular brasileña,Q1046768
Q1335045,embolada,subclase de,Repentismo,Repentismo,Q2936879
Q1036183,carimbó,subclase de,danza,danza,Q11639
Q1335045,embolada,instancia de,género musical,género musical,Q188451
Q1455932,Frevo,país de origen,Brasil,Brasil,Q155
Q942955,milonga,subclase de,Rioplatense music,Rioplatense music,Q123856101
Q505343,Jongo,país de origen,Brasil,Brasil,Q155
Q430075,Maxixe,país de origen,Brasil,Brasil,Q155
Q1036183,carimbó,país de origen,Brasil,Brasil,Q155
Q942955,milonga,instancia de,tipo de baile,tipo de baile,Q107357104
Q11403,samba,país de origen,Brasil,Brasil,Q155
Q1046768,música popular brasileña,subclase de,música brasileña,música brasileña,Q899215
Q502808,xote,instancia de,género musical,género musical,Q188451
Q1413061,tropicalismo,país de origen,Brasil,Brasil,Q155
Q533946,Lambada,país de origen,Brasil,Brasil,Q155
Q1435485,axé,instancia de,género musical,género musical,Q188451
Q502448,coco,instancia de,género musical,género musical,Q188451
Q504476,Ciranda,subclase de,coco,coco,Q502448
