sujeto_qid,entidad,relacion,valor,valor_es,valor_qid
Q186630,Ernesto Sabato,lugar de nacimiento,Rojas,Rojas,Q2280901
Q369214,Vladímir Kibálchich Rusakov,lugar de nacimiento,San Petersburgo,San Petersburgo,Q656
Q332420,Rodrigo Arenas Betancourt,lugar de nacimiento,Fredonia,Fredonia,Q1442002
Q351618,Francisco Zúñiga,lugar de nacimiento,San José,San José,Q3070
Q368350,Luis Arenal Bastar,lugar de nacimiento,Teapa,Teapa,Q4407951
Q298814,Fayga Ostrower,lugar de nacimiento,Lodz,Lodz,Q580
Q388589,Humberto Ramos,lugar de nacimiento,México,México,Q96
Q276510,Ernesto Cardenal,lugar de nacimiento,Argentina,Argentina,Q414
Q351898,Francisco Eduardo Tresguerras,lugar de nacimiento,Celaya,Celaya,Q580649
Q251613,Fernando Birri,lugar de nacimiento,Santa Fe,Santa Fe,Q44244
Q467940,Charly García,lugar de nacimiento,Caballito,Caballito,Q536312
Q314484,Gustavo Eberlein,lugar de nacimiento,Spiekershausen,Spiekershausen,Q2309990
Q399056,Agustín Abarca,lugar de nacimiento,Talca,Talca,Q4469
Q281090,Vicente do Rego Monteiro,lugar de nacimiento,Recife,Recife,Q48344
Q252937,Marion Strecker,lugar de nacimiento,São Paulo,São Paulo,Q174
Q353573,Mike Deodato,lugar de nacimiento,Campina Grande,Campina Grande,Q193016
Q331376,Eduardo Kac,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q153845,Rodolfo Amoedo,lugar de nacimiento,Salvador,Salvador,Q36947
Q105427,Thomas Driendl,lugar de nacimiento,Múnich,Múnich,Q1726
Q365111,Adolfo Mexiac,lugar de nacimiento,Cuto de la Esperanza,Cuto de la Esperanza,Q20236675
Q83484,Anthony Quinn,lugar de nacimiento,Chihuahua,Chihuahua,Q61302
Q222715,Juan Calzadilla,lugar de nacimiento,Altagracia de Orituco,Altagracia de Orituco,Q433758
Q215618,Grete Stern,lugar de nacimiento,Elberfeld,Elberfeld,Q702259
Q254662,Enrique del Moral,lugar de nacimiento,Irapuato,Irapuato,Q816845
Q464011,ليونور فينى,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q450459,Leon Schidlowsky,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q386987,Michelle J. Wong,lugar de nacimiento,Costa Rica,Costa Rica,Q800
Q491787,Claudio Bravo,lugar de nacimiento,Valparaíso,Valparaíso,Q33986
Q461937,María Izquierdo,lugar de nacimiento,San Juan de los Lagos,San Juan de los Lagos,Q1709669
Q171128,Diego Rivera,lugar de nacimiento,Guanajuato,Guanajuato,Q61306
Q330902,Abraham Ángel,lugar de nacimiento,El Oro Municipality,El Oro Municipality,Q2115222
Q324030,León Ferrari,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q290331,Elizabeth Catlett,lugar de nacimiento,Washington D. C.,Washington D. C.,Q61
Q75255,Gerardo Chávez,lugar de nacimiento,Trujillo,Trujillo,Q214173
Q272877,Fernando Botero,lugar de nacimiento,Medellín,Medellín,Q48278
Q154842,Max Ernst,lugar de nacimiento,Brühl,Brühl,Q7036
Q179113,Sebastián Spreng,lugar de nacimiento,Esperanza,Esperanza,Q1368165
Q370425,Feliciano Béjar,lugar de nacimiento,Municipality of Jiquilpan,Municipality of Jiquilpan,Q2333867
Q281905,Enrique Carral Icaza,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q382945,Affonso Beato,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q332041,José Clemente Orozco,lugar de nacimiento,Ciudad Guzmán,Ciudad Guzmán,Q1094355
Q365008,Adolfo Best Maugard,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q278051,Marcelo de Melo,lugar de nacimiento,Apucarana,Apucarana,Q1638385
Q263730,Alejandro Jodorowsky,lugar de nacimiento,Iquique,Iquique,Q14440
Q330981,Kristian Kreković,lugar de nacimiento,"Koprivna, Modriča","Koprivna, Modriča",Q1711172
Q382957,Affonso Reidy,lugar de nacimiento,París,París,Q90
Q230499,Violeta Parra,lugar de nacimiento,San Carlos,San Carlos,Q56137
Q229972,Catalina Sandino,lugar de nacimiento,Bogotá,Bogotá,Q2841
Q121677,Lukas Vischer,lugar de nacimiento,Basilea,Basilea,Q78
Q187968,Ignacio Aguirre,lugar de nacimiento,San Sebastián del Oeste,San Sebastián del Oeste,Q3051746
Q177313,Julio Le Parc,lugar de nacimiento,Palmira,Palmira,Q2408796
Q213321,Elmar Rojas,lugar de nacimiento,Sacatepéquez,Sacatepéquez,Q7396574
Q235955,Clarice Lispector,lugar de nacimiento,Chechelnik,Chechelnik,Q1721808
Q382632,Otto Georgi,lugar de nacimiento,Valdivia,Valdivia,Q160687
Q463639,Ana Mendieta,lugar de nacimiento,La Habana,La Habana,Q1563
Q295233,John Leguizamo,lugar de nacimiento,Bogotá,Bogotá,Q2841
Q278631,Gina Pellón,lugar de nacimiento,Cumanayagua,Cumanayagua,Q5044
Q276510,Ernesto Cardenal,lugar de nacimiento,Granada,Granada,Q205648
Q362660,Antonio Attolini Lack,lugar de nacimiento,Ciudad Juárez,Ciudad Juárez,Q26590
Q317456,Abdul Vas,lugar de nacimiento,Maracay,Maracay,Q333928
Q183438,Gyula Kosice,lugar de nacimiento,Košice,Košice,Q25409
Q252019,Ángela Gurría,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q384225,Eduardo Risso,lugar de nacimiento,Leones,Leones,Q4907288
Q266092,Dr. Atl,lugar de nacimiento,Guadalajara,Guadalajara,Q9022
Q349540,Noe Canjura,lugar de nacimiento,Apopa,Apopa,Q619646
Q233207,Leonora Carrington,lugar de nacimiento,Clayton-le-Woods,Clayton-le-Woods,Q3243751
Q206505,Adolfo Pérez Esquivel,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q436741,Beatriz Milhazes,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q351430,Luis Nishizawa Flores,lugar de nacimiento,Cuautitlán Municipality,Cuautitlán Municipality,Q2202119
Q153503,Juan Félix Sánchez,lugar de nacimiento,San Rafael de Mucuchíes,San Rafael de Mucuchíes,Q3947886
Q251967,Ángel Zárraga,lugar de nacimiento,Victoria de Durango,Victoria de Durango,Q112813
Q380779,Pedro Coronel,lugar de nacimiento,Zacatecas,Zacatecas,Q139242
Q116033,Domingo Mandrafina,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q312392,Lucio Fontana,lugar de nacimiento,Rosario,Rosario,Q52535
Q377755,Adrián Caetano,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q465342,Wifredo Lam,lugar de nacimiento,Sagua la Grande,Sagua la Grande,Q5030
Q326813,Jorge Castillo,lugar de nacimiento,Pontevedra,Pontevedra,Q12411
Q319532,Candido Portinari,lugar de nacimiento,Brodowski,Brodowski,Q924792
Q325503,Raúl Anguiano,lugar de nacimiento,Guadalajara,Guadalajara,Q9022
Q276451,Tilda Thamar,lugar de nacimiento,Urdinarrain,Urdinarrain,Q2032321
Q330720,Abraham Zabludovsky,lugar de nacimiento,Białystok,Białystok,Q761
Q379980,Desiderio Hernández Xochitiotzin,lugar de nacimiento,Contla,Contla,Q5165559
Q325148,Hugo Demarco,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q250397,Rafael Coronel,lugar de nacimiento,Zacatecas,Zacatecas,Q139242
Q450236,Roberto Matta,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q307693,Öyvind Fahlström,lugar de nacimiento,São Paulo,São Paulo,Q174
Q251508,Angel Bracho,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
