sujeto_qid,entidad,relacion,valor,valor_es,valor_qid
Q572484,yaminahua,nombre en la lengua nativa,Yaminawá,Yaminawá,
Q3891599,Los indígenas de Raposa Serra do Sol,idioma oficial,Idioma macushi,Idioma macushi,Q56633
Q2537324,Yawalapiti,país de origen,Brasil,Brasil,Q155
Q3891599,Los indígenas de Raposa Serra do Sol,idioma oficial,Língua Taulipáng,Língua Taulipáng,Q114277006
Q3891599,Los indígenas de Raposa Serra do Sol,idioma oficial,Língua Wapichana,Língua Wapichana,Q114277007
Q3891599,Los indígenas de Raposa Serra do Sol,idioma oficial,Língua Ingarikó,Língua Ingarikó,Q114277004
Q572484,yaminahua,instancia de,pueblo indígena,pueblo indígena,Q103817
Q7703094,Kayapó Indigenous Territory,situado en la entidad territorial administrativa,Pará,Pará,Q39517
Q2259699,Sateré-Mawé,situado en la entidad territorial administrativa,Amazonas,Amazonas,Q40040
Q2259699,Sateré-Mawé,instancia de,etnia,etnia,Q41710
Q3509835,Tabajara people,instancia de,etnia,etnia,Q41710
Q4793163,Armenios en Brasil,subclase de,armenios,armenios,Q79797
Q7909515,Valle del Javari,país,Brasil,Brasil,Q155
Q3891599,Los indígenas de Raposa Serra do Sol,situado en la entidad territorial administrativa,Normandia,Normandia,Q1750038
Q572484,yaminahua,instancia de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q572484,yaminahua,país,Bolivia,Bolivia,Q750
Q572484,yaminahua,país,Perú,Perú,Q419
Q572484,yaminahua,país,Brasil,Brasil,Q155
Q1258241,Lusofonía,instancia de,grupo etnolingüístico,grupo etnolingüístico,Q4533081
Q183444,Parque Indígena de Xingu,país,Brasil,Brasil,Q155
Q2537324,Yawalapiti,situado en la entidad territorial administrativa,Mato Grosso,Mato Grosso,Q42824
Q1258241,Lusofonía,país,Timor Oriental,Timor Oriental,Q574
Q1258241,Lusofonía,país,Mozambique,Mozambique,Q1029
Q1258241,Lusofonía,país,Cabo Verde,Cabo Verde,Q1011
Q1258241,Lusofonía,país,Portugal,Portugal,Q45
Q1258241,Lusofonía,país,Guinea Ecuatorial,Guinea Ecuatorial,Q983
Q1258241,Lusofonía,país,Guinea-Bisáu,Guinea-Bisáu,Q1007
Q1258241,Lusofonía,país,Brasil,Brasil,Q155
Q1258241,Lusofonía,país,Angola,Angola,Q916
Q2259699,Sateré-Mawé,situado en la entidad territorial administrativa,Pará,Pará,Q39517
Q3891599,Los indígenas de Raposa Serra do Sol,forma parte de,Parque nacional do Monte Roraima,Parque nacional do Monte Roraima,Q578202
Q1258241,Lusofonía,país,Santo Tomé y Príncipe,Santo Tomé y Príncipe,Q1039
