layer,ground_truth_prob,top_1_prob,region,prompt_id
0,3.461283631622791e-05,0.02492157742381096,latam,p_6587
1,5.777838396170409e-06,0.02463521435856819,latam,p_6587
2,4.197789166937582e-06,0.013624992221593857,latam,p_6587
3,3.879890755342785e-06,0.02761814557015896,latam,p_6587
4,1.6353503724531038e-06,0.015119876712560654,latam,p_6587
5,3.7477657315321267e-06,0.021383248269557953,latam,p_6587
6,1.2312304988881806e-06,0.010796296410262585,latam,p_6587
7,7.547341169811261e-07,0.039217785000801086,latam,p_6587
8,2.1320015548553783e-06,0.028909850865602493,latam,p_6587
9,8.093701922007313e-07,0.017302697524428368,latam,p_6587
10,5.363388595469587e-07,0.0260234996676445,latam,p_6587
11,2.8152464892627904e-07,0.03357885405421257,latam,p_6587
12,1.1886309039255138e-06,0.011932684108614922,latam,p_6587
13,1.6191041822821717e-06,0.0188902597874403,latam,p_6587
14,1.252901483894675e-06,0.013531460426747799,latam,p_6587
15,1.8550641698311665e-06,0.021012837067246437,latam,p_6587
16,1.4709906963616959e-06,0.010496677830815315,latam,p_6587
17,1.136632022280537e-06,0.054380014538764954,latam,p_6587
18,7.66867174206709e-07,0.052086684852838516,latam,p_6587
19,2.3831589714973234e-06,0.0388711653649807,latam,p_6587
20,1.9957283257099334e-06,0.05963795632123947,latam,p_6587
21,1.6895301087060943e-06,0.15092377364635468,latam,p_6587
22,2.1919881874055136e-06,0.2587876617908478,latam,p_6587
23,2.628978108987212e-06,0.10258928686380386,latam,p_6587
24,8.680416613060515e-06,0.027719764038920403,latam,p_6587
25,6.3225265876099e-06,0.011253965087234974,latam,p_6587
26,1.9571356460801326e-05,0.013317245058715343,latam,p_6587
27,1.855709524534177e-05,0.01892080157995224,latam,p_6587
28,4.011571945738979e-05,0.019065983593463898,latam,p_6587
29,9.631376997276675e-06,0.03690249100327492,latam,p_6587
30,5.7000429478648584e-06,0.14855341613292694,latam,p_6587
31,1.6389058146160096e-06,0.11080529540777206,latam,p_6587
0,1.922916271723807e-05,0.013495489954948425,latam,p_6588
