layer,region,ground_truth_prob,top_1_prob
0,latam,7.170772772556906e-06,0.02643553278192572
0,usa,8.050274430130688e-06,0.03281034571297748
1,latam,4.414482571072323e-06,0.017305008380200274
1,usa,3.140037792328862e-06,0.016661108269965082
2,latam,1.4738477404885635e-06,0.032206577107699086
2,usa,1.8954146304545916e-06,0.03183236452213555
3,latam,1.5808379046113041e-06,0.013904940927626912
3,usa,1.2237670301541182e-06,0.018394496605301656
4,latam,1.7181764514267491e-06,0.018509829286956225
4,usa,1.2457823514828884e-06,0.030236100509332883
5,latam,2.594089924622333e-06,0.020605799626960353
5,usa,1.144042961232793e-06,0.04929823136010846
6,latam,6.422559480777217e-06,0.026769207650889606
6,usa,1.2281101035870578e-06,0.033586107794410285
7,latam,2.7226877195202805e-06,0.030109436403244986
7,usa,2.15296476512455e-06,0.027476862372937918
8,latam,3.388130404552667e-06,0.03058214887142528
8,usa,1.217287215155977e-06,0.027517708430353227
9,latam,2.84506406516701e-06,0.022335503333050597
9,usa,3.4270050258638625e-06,0.0317163240218248
10,latam,2.3213232736553762e-06,0.023349287259495873
10,usa,2.186413945643963e-06,0.0350639181829487
11,latam,2.516002567213913e-06,0.03062401927625034
11,usa,1.8375969772953142e-06,0.02856913697010332
12,latam,2.9233233839288337e-06,0.0254583828357559
12,usa,4.566154932156222e-06,0.023228118169264674
13,latam,2.684897736139338e-06,0.02696818274530493
13,usa,5.998763491409536e-06,0.02361401781224855
14,latam,2.743062832789569e-06,0.025216713651406344
14,usa,8.726855560278535e-06,0.01894124257915576
15,latam,3.6310741646635907e-06,0.028338715360571993
15,usa,1.1013417265583977e-05,0.015431014767203138
16,latam,4.021271659894966e-06,0.02627731485091622
16,usa,2.860592747171687e-06,0.020604267085078475
17,latam,1.1307863315321797e-05,0.03642735307227176
17,usa,4.906237761196234e-06,0.022470211820641055
18,latam,1.5065079827740628e-05,0.04391634156770673
18,usa,9.261990052705237e-06,0.024839714988886985
19,latam,1.9100116411628628e-05,0.05314116913019377
19,usa,1.154277645528573e-05,0.04414077147017587
20,latam,2.129672937171804e-05,0.04912096520490714
20,usa,8.177086395921753e-06,0.056740942088743765
21,latam,3.475812620063109e-05,0.08805455674364004
21,usa,1.1443045034582741e-05,0.10431821279836671
22,latam,6.008085788552975e-05,0.10942053456298426
22,usa,6.632676783067422e-06,0.1276867491408036
23,latam,0.00012044138104102568,0.14711165156767322
23,usa,5.232965132324428e-06,0.2999654157051386
24,latam,0.00013549525793186276,0.12973303191482966
24,usa,7.202537762496996e-06,0.28555971932095975
25,latam,0.0002912119324130099,0.11467938616758942
25,usa,7.845659080459698e-06,0.289188922705272
26,latam,0.00044452993848230954,0.10990075235170392
26,usa,1.1320851539734212e-05,0.2462679095781193
27,latam,0.0007358651636456114,0.12260897226945214
27,usa,1.4404922295164321e-05,0.15555800995431263
28,latam,0.0005100811769979251,0.23833989366995612
28,usa,8.322735171768075e-06,0.34886106320370275
29,latam,0.0004973112761791063,0.2275678782728861
29,usa,8.361463606637373e-06,0.3068405858133561
30,latam,0.0003957005108751202,0.3412675997374034
30,usa,7.405211857115303e-06,0.40701944223390174
31,latam,0.00010677218653927804,0.21066803176093982
31,usa,1.7090553378658507e-05,0.16690149305101767
