layer,region,ground_truth_prob,top_1_prob
0,latam,2.0624981064867833e-07,0.22145809348384135
0,usa,4.918471124577124e-07,0.20613632458620343
1,latam,1.3529140935249577e-07,0.19105154601035493
1,usa,3.3331308736488357e-07,0.15721737213719347
2,latam,5.858874101525123e-07,0.1918302393739773
2,usa,2.3695746026024401e-07,0.1313719782763375
3,latam,2.367920655967284e-06,0.0697006488501122
3,usa,4.658517954424701e-06,0.05473462164473645
4,latam,9.222882732979951e-06,0.03654098286861016
4,usa,1.728862287173001e-05,0.05125336365129507
5,latam,5.503333554058807e-06,0.12553167535035994
5,usa,4.692998234865011e-06,0.035465904054805014
6,latam,1.4103888303467032e-05,0.1683098731186203
6,usa,1.1751901435315137e-05,0.04441638890868764
7,latam,4.6821732663871746e-06,0.1202993858467649
7,usa,1.0277706759046278e-05,0.0829263585261427
8,latam,5.481579679646387e-06,0.1158886470160249
8,usa,4.441170491102466e-06,0.13772779663738147
9,latam,1.3821518789994816e-05,0.1250833433001029
9,usa,1.6096211944429732e-05,0.142836036447149
10,latam,7.183786420280777e-06,0.1528484138727238
10,usa,1.1651958711181442e-05,0.11007653989900759
11,latam,6.02707944150427e-06,0.12476479246811027
11,usa,3.7371462512448733e-06,0.13208666556658075
12,latam,7.914331818914094e-06,0.13974786400857694
12,usa,3.710519159419201e-06,0.14746725552070597
13,latam,3.9979941536170745e-06,0.1647427128869977
13,usa,2.0809187565487627e-06,0.23292802492729742
14,latam,2.164131517965627e-06,0.13312105981526445
14,usa,1.7249222760276973e-06,0.11363862055497095
15,latam,1.3638663367306848e-06,0.17467452182437632
15,usa,1.3112339933184118e-06,0.12880101713996664
16,latam,2.5974244962067898e-06,0.18177568102587852
16,usa,5.761874108754089e-07,0.1500818939843716
17,latam,2.5244471021523714e-06,0.19690868928175578
17,usa,5.838130018867465e-07,0.17544942800528723
18,latam,2.317548837407713e-06,0.25403554662058647
18,usa,5.049733659578094e-07,0.20146091447140158
19,latam,2.260455762151134e-06,0.3356733335789155
19,usa,7.997077582944581e-07,0.2770761284404076
20,latam,2.272259456857774e-06,0.3332843336678715
20,usa,5.9490393693765e-07,0.24031499261036512
21,latam,1.8534349606175818e-06,0.3372682216324489
21,usa,1.076189703043967e-06,0.24604725810842443
22,latam,1.2528714451864338e-06,0.48418735395326756
22,usa,6.470006888738251e-07,0.29252827067214704
23,latam,2.6983342403819587e-06,0.5387011995279428
23,usa,5.532057660284566e-07,0.4189742769186313
24,latam,1.1778604505474301e-05,0.4120074167847633
24,usa,3.258838756728472e-06,0.39325563054388535
25,latam,5.536277528182786e-06,0.3957584040860335
25,usa,2.1316155111663353e-06,0.4573297005934784
26,latam,1.0138237384206976e-05,0.3899010843946677
26,usa,2.0347622139004863e-06,0.46502775827852577
27,latam,1.7195918119133895e-05,0.3863304091407996
27,usa,2.78072457333054e-06,0.37586837956825125
28,latam,1.5685920126230406e-05,0.41786555495025335
28,usa,2.352139274689303e-06,0.4794514813961891
29,latam,4.0388976097098995e-05,0.4542945934009271
29,usa,4.730122360898174e-06,0.5326829854255686
30,latam,3.579389833582167e-05,0.48455968484734047
30,usa,9.195870880368733e-06,0.621491763740778
31,latam,9.152432734754652e-05,0.5060502315039185
31,usa,8.991634019948619e-06,0.5694833311897057
32,latam,6.727644539323366e-05,0.5996636234188722
32,usa,6.639076184157555e-06,0.6054947804659605
33,latam,4.7449223465068775e-05,0.6187490284924555
33,usa,9.856507017047385e-07,0.6759839139592189
34,latam,6.73942124882056e-05,0.5295808580959285
34,usa,1.805729726100999e-05,0.520772918772239
35,latam,5.152087144158589e-05,0.2921342511650689
35,usa,1.4419697382023276e-05,0.270067358102936
