layer,ground_truth_prob,top_1_prob,region,prompt_id
0,8.074279023162489e-10,0.13772378861904144,latam,p_1882
1,2.1514663384181176e-09,0.09891987591981888,latam,p_1882
2,9.774059339662244e-10,0.05209503322839737,latam,p_1882
3,1.157681452923498e-07,0.025868941098451614,latam,p_1882
4,3.0329267701745266e-06,0.05516982451081276,latam,p_1882
5,2.2340875602822052e-06,0.05024382844567299,latam,p_1882
6,8.314389560837299e-06,0.05635775253176689,latam,p_1882
7,4.421596258907812e-06,0.03373321145772934,latam,p_1882
8,4.956073098583147e-07,0.04261275753378868,latam,p_1882
9,1.270480652237893e-06,0.08666657656431198,latam,p_1882
10,9.670449117038515e-07,0.02846801094710827,latam,p_1882
11,6.306094292085618e-06,0.015327449887990952,latam,p_1882
12,3.895451300195418e-06,0.029845736920833588,latam,p_1882
13,2.887031087084324e-06,0.029239727184176445,latam,p_1882
14,1.6407294367581926e-07,0.041264284402132034,latam,p_1882
15,4.084927240910474e-08,0.05153939127922058,latam,p_1882
16,4.7199268493614e-08,0.11861326545476913,latam,p_1882
17,4.6908400719303245e-08,0.22568556666374207,latam,p_1882
18,5.967618221802695e-08,0.6400963068008423,latam,p_1882
19,6.725637149429531e-07,0.3912486433982849,latam,p_1882
20,6.172116968627961e-07,0.5167834162712097,latam,p_1882
21,4.0277623725160083e-07,0.5097118616104126,latam,p_1882
22,1.5404106434857567e-08,0.6187060475349426,latam,p_1882
23,9.36537389861769e-08,0.5022085309028625,latam,p_1882
24,2.4876134929741056e-08,0.6217783689498901,latam,p_1882
25,5.660141244590022e-09,0.6975706219673157,latam,p_1882
26,1.1822367085301266e-08,0.5516462922096252,latam,p_1882
27,9.073939821746535e-09,0.26233381032943726,latam,p_1882
28,3.4285938532718774e-09,0.1387265920639038,latam,p_1882
29,6.522827789012808e-08,0.4220898151397705,latam,p_1882
30,1.2728130549533034e-08,0.6825430989265442,latam,p_1882
31,2.490959083445432e-08,0.7003182172775269,latam,p_1882
32,2.0131938782697034e-08,0.3314892649650574,latam,p_1882
33,1.2695110740423843e-07,0.35422757267951965,latam,p_1882
34,2.4772014057816705e-06,0.5496376156806946,latam,p_1882
35,8.024271664908156e-05,0.14847886562347412,latam,p_1882
0,2.8718312172770766e-09,0.20402204990386963,latam,p_1883
1,4.168898559697709e-09,0.1291487067937851,latam,p_1883
2,9.574896431274738e-09,0.1448265016078949,latam,p_1883
3,9.255892052806303e-08,0.025184504687786102,latam,p_1883
4,1.4256568192649866e-06,0.023281816393136978,latam,p_1883
5,4.926077508571325e-06,0.11216337233781815,latam,p_1883
6,3.5186071727366652e-06,0.20745150744915009,latam,p_1883
7,8.116281833281391e-07,0.15543262660503387,latam,p_1883
8,2.0613842366401514e-07,0.3326365351676941,latam,p_1883
9,1.0965385399686056e-06,0.06088411062955856,latam,p_1883
10,3.2139757877303055e-07,0.06751660257577896,latam,p_1883
11,4.2070021777362854e-07,0.33521324396133423,latam,p_1883
12,5.635129696202057e-07,0.23062150180339813,latam,p_1883
13,1.5967496835855854e-07,0.11541899293661118,latam,p_1883
14,2.4713696689104836e-07,0.14949415624141693,latam,p_1883
15,6.505873102469195e-07,0.112641341984272,latam,p_1883
16,1.0246784540868248e-06,0.042631592601537704,latam,p_1883
17,1.4781860500079347e-06,0.0448564849793911,latam,p_1883
18,1.2249723795321188e-06,0.07508785277605057,latam,p_1883
19,9.95200792885953e-08,0.7619007229804993,latam,p_1883
20,8.64463203242849e-08,0.6682995557785034,latam,p_1883
21,2.6096677174791694e-07,0.5562272071838379,latam,p_1883
22,3.228153744316842e-08,0.7863695621490479,latam,p_1883
23,6.469675639664274e-08,0.8193251490592957,latam,p_1883
24,1.7302740218383406e-07,0.6041780114173889,latam,p_1883
25,1.778115716888351e-07,0.1352226585149765,latam,p_1883
26,3.079533428262948e-08,0.19145722687244415,latam,p_1883
27,7.856184680576916e-08,0.12932530045509338,latam,p_1883
28,5.530461422154076e-08,0.24173997342586517,latam,p_1883
29,2.8295930931676594e-08,0.32748427987098694,latam,p_1883
30,1.60510538194103e-07,0.263414204120636,latam,p_1883
31,3.002726884915319e-07,0.5783847570419312,latam,p_1883
32,3.130610437551695e-08,0.93485027551651,latam,p_1883
