layer,category,ground_truth_prob,top_1_prob
0,dances,1.1450574314508799e-05,0.018495992342334035
0,indigenous_peoples,1.6771919887244636e-06,0.019448074311467535
0,landmarks,3.42669811933168e-06,0.01901179474468028
0,movies,5.011754590788262e-06,0.015087373002633861
0,painters,6.519588268361076e-06,0.02427334597866445
1,dances,1.6488099441399615e-05,0.018915226510928335
1,indigenous_peoples,1.532204778322143e-06,0.021687657676701364
1,landmarks,4.326196750525923e-06,0.01696371257615582
1,movies,3.355699657804047e-06,0.017854530805933067
1,painters,2.976015859523784e-06,0.018276329634578054
2,dances,1.5920971658151616e-05,0.019614756309791707
2,indigenous_peoples,1.6571971448832483e-06,0.014174011648343502
2,landmarks,1.9458980973515357e-06,0.014244468820591716
2,movies,2.494119451091136e-06,0.01982079598495789
2,painters,5.495560425775434e-07,0.014571080998783622
3,dances,2.1519555186084892e-05,0.02179808595784652
3,indigenous_peoples,1.7495746614542018e-06,0.029582447934381875
3,landmarks,7.649072698493834e-07,0.01593449731978273
3,movies,3.3487377262287134e-06,0.016615467246852235
3,painters,3.8063763912228e-07,0.013457386006068911
4,dances,3.0739092648405805e-05,0.021676241511317005
4,indigenous_peoples,1.9245856361859887e-06,0.028862017736738053
4,landmarks,5.319190184316369e-07,0.013333723119770434
4,movies,4.593786922999316e-06,0.017091887974247443
4,painters,4.60578373154671e-07,0.018864256429618975
5,dances,0.00010228571210525934,0.021199887183130386
5,indigenous_peoples,1.2164189776731445e-05,0.018250931736788305
5,landmarks,5.75118453077413e-06,0.013752180260295626
5,movies,3.96253504705602e-06,0.02923306792052745
5,painters,7.093127727080579e-07,0.01593080543846419
6,dances,5.70464918237884e-06,0.022827815760493874
6,indigenous_peoples,4.980160976324665e-06,0.01886351222718322
6,landmarks,3.3754404860234882e-06,0.049826444638892964
6,movies,3.864422668341378e-06,0.02567728544998256
6,painters,1.5648842667407133e-06,0.023777749173210096
7,dances,1.0508234593623148e-05,0.023516639581193047
7,indigenous_peoples,2.0714448577402456e-06,0.025684992670370534
7,landmarks,6.118342429791331e-06,0.017432410487284222
7,movies,3.074520098315321e-06,0.02733836960066681
7,painters,5.869607193937603e-07,0.029278980401743683
8,dances,5.356533294624012e-06,0.019758848038137558
8,indigenous_peoples,4.366602499038556e-06,0.022461795352463523
8,landmarks,4.4386654370972185e-06,0.018437100512285975
8,movies,4.827156381138668e-06,0.021899534461386063
8,painters,4.679627814458647e-07,0.018534054696959002
9,dances,7.19276634963998e-06,0.02566002178734731
9,indigenous_peoples,9.847242400790296e-06,0.01614393521871028
9,landmarks,1.734224230827706e-05,0.013158458184140374
9,movies,3.4136532336254878e-06,0.024357050292424274
9,painters,4.743428830992055e-07,0.015091827039473775
10,dances,1.2691106542182458e-05,0.018145512121365066
10,indigenous_peoples,2.418997641646697e-06,0.01520744829181706
10,landmarks,4.2203824668490406e-05,0.015375634313871409
10,movies,3.30118552754945e-06,0.026651380175590156
10,painters,6.66172984426743e-07,0.021052110740648795
11,dances,8.45311694276589e-06,0.023323241226456036
11,indigenous_peoples,2.3833694731479166e-06,0.019875196169997552
11,landmarks,0.0001197304708729877,0.01593929448475435
