layer,category,ground_truth_prob,top_1_prob
0,dances,7.114513836513288e-08,0.18863331328105665
0,indigenous_peoples,5.060790043305898e-07,0.13753179486455583
0,landmarks,7.768516571878455e-08,0.17893820771326618
0,movies,3.0752045601085437e-06,0.1559882861821307
0,painters,3.310877916174697e-07,0.14975401506360084
1,dances,2.5304980481564443e-07,0.26028089298178314
1,indigenous_peoples,1.7544773436022688e-06,0.20756996063322852
1,landmarks,1.0777313182603703e-07,0.2124823247392972
1,movies,9.459331020299613e-06,0.1453522717215351
1,painters,1.6167987891359458e-07,0.22010531436119757
2,dances,5.071395456140269e-07,0.1139538802368485
2,indigenous_peoples,8.699941932728119e-07,0.12173086777329441
2,landmarks,2.0590758465852353e-07,0.11469512221713857
2,movies,4.0278215761889e-06,0.1270930936041566
2,painters,2.925629604926578e-07,0.17038278840482232
3,dances,1.3067050272975456e-06,0.23192213767248648
3,indigenous_peoples,1.382624950779189e-06,0.20289728996054876
3,landmarks,1.03979282019302e-07,0.14482669644057747
3,movies,1.7436247286842318e-06,0.21693060351247637
3,painters,2.943076155321427e-07,0.2188747565128973
4,dances,8.178750510355544e-06,0.1685193211002194
4,indigenous_peoples,1.8512711342606687e-06,0.1469273931378948
4,landmarks,1.0618560418278189e-07,0.13579921896258987
4,movies,1.0581778298424334e-06,0.13599859546754775
4,painters,2.1102340156239512e-07,0.1305119218304753
5,dances,2.796707491627643e-05,0.1319835856151969
5,indigenous_peoples,8.397192916300516e-06,0.1109262911024792
5,landmarks,1.2282791649655584e-07,0.06111897459874546
5,movies,5.391238180904347e-06,0.1206965287859292
5,painters,3.673204699731044e-07,0.12215579407555711
6,dances,4.68924401444246e-06,0.25099875275855477
6,indigenous_peoples,7.62605901154288e-08,0.29140739637459145
6,landmarks,7.503901601653429e-08,0.2840921352307001
6,movies,3.6834501789162015e-06,0.3648065800212093
6,painters,5.790922189245167e-08,0.2638299702001469
7,dances,1.217434276893471e-05,0.2719400548578604
7,indigenous_peoples,1.8072313056141766e-07,0.4105374247863375
7,landmarks,2.3208076788411534e-07,0.26007939539849756
7,movies,3.2129706483251783e-06,0.2617994648087577
7,painters,2.779954407134054e-07,0.2964449099131992
8,dances,5.854500723589847e-06,0.26481895926206006
8,indigenous_peoples,2.962701553403525e-07,0.44730922348540403
8,landmarks,9.447469630126844e-08,0.20244521871209142
8,movies,4.642207253461361e-06,0.29260232929409163
8,painters,2.275690926633362e-07,0.30187447781541515
9,dances,8.203007605321913e-06,0.32624854795310804
9,indigenous_peoples,4.51276972345069e-07,0.46303548612471285
9,landmarks,8.554717467745832e-08,0.2572379699597756
9,movies,2.8638674031156775e-05,0.2540237651273761
9,painters,1.743775446300904e-07,0.28968747379258275
10,dances,2.564346078917449e-06,0.35354744553889916
10,indigenous_peoples,9.863421973747173e-07,0.28410152525737364
10,landmarks,1.599544257936449e-07,0.1940063621848821
10,movies,2.2092502029309423e-06,0.2632573745837531
10,painters,1.1805624077527403e-07,0.2549976129084825
11,dances,1.388154685293447e-06,0.33942825800698734
11,indigenous_peoples,1.5417956481125473e-06,0.31557923512019476
11,landmarks,5.599084388990816e-07,0.2351739627619584
11,movies,2.6531792979380878e-06,0.2413707994999959
11,painters,1.0987594456898389e-07,0.25267294501619675
12,dances,6.125223712055464e-07,0.40627896656160767
12,indigenous_peoples,2.885049945277444e-07,0.35714292462015973
