layer,ground_truth_prob,top_1_prob,category,prompt_id
0,1.8937940993168922e-08,0.10188627243041992,dances,p_96
1,8.742579993281652e-09,0.2038331925868988,dances,p_96
2,1.2079430788958234e-08,0.2402578890323639,dances,p_96
3,6.363303661771624e-09,0.456574410200119,dances,p_96
4,1.0581781673124624e-08,0.11664249002933502,dances,p_96
5,5.600926833437825e-09,0.0490647628903389,dances,p_96
6,7.967319859414346e-11,0.26567354798316956,dances,p_96
7,1.7159257348353663e-10,0.5637458562850952,dances,p_96
8,8.087638891929316e-10,0.5833829641342163,dances,p_96
9,3.8746289510172005e-10,0.22395968437194824,dances,p_96
10,7.210906871613076e-11,0.5201144218444824,dances,p_96
11,5.211538492422285e-11,0.34611448645591736,dances,p_96
12,2.4329118580856957e-11,0.3928636312484741,dances,p_96
13,1.1208618061475661e-10,0.7315916419029236,dances,p_96
14,8.07204043190568e-12,0.6284424662590027,dances,p_96
15,1.5353029958475872e-09,0.3118487298488617,dances,p_96
16,6.592161483354175e-09,0.24023140966892242,dances,p_96
17,2.1477022382754285e-09,0.33092522621154785,dances,p_96
18,2.0501031983144458e-09,0.5237719416618347,dances,p_96
19,8.30210122870767e-10,0.3493023216724396,dances,p_96
20,4.990581836672447e-10,0.6101277470588684,dances,p_96
21,1.4189027730537873e-09,0.6781898140907288,dances,p_96
22,2.3094277601387603e-09,0.354865700006485,dances,p_96
23,6.6518865970977e-09,0.3081584572792053,dances,p_96
24,2.425265499539364e-08,0.19682246446609497,dances,p_96
25,3.6847276874141244e-07,0.02454250492155552,dances,p_96
26,1.651854972806177e-06,0.34985271096229553,dances,p_96
27,6.490078521892428e-05,0.11236809194087982,dances,p_96
0,1.194206049603963e-07,0.10423554480075836,dances,p_97
1,8.099195270006021e-08,0.14875847101211548,dances,p_97
2,1.0360891877780887e-07,0.269748717546463,dances,p_97
3,8.055499023384982e-08,0.0600707083940506,dances,p_97
4,1.3205730908794067e-07,0.09420222043991089,dances,p_97
5,5.4140276262160114e-08,0.37897634506225586,dances,p_97
6,1.5343435677550588e-07,0.1531393676996231,dances,p_97
7,2.052144338904327e-07,0.1359264850616455,dances,p_97
8,2.825385081450804e-07,0.10483649373054504,dances,p_97
9,1.4348027832511434e-07,0.26949217915534973,dances,p_97
10,2.531400014049723e-07,0.2870718538761139,dances,p_97
11,4.8912081496155224e-08,0.4568237066268921,dances,p_97
12,3.103705381590771e-08,0.40067973732948303,dances,p_97
13,1.8331858697706593e-08,0.3821721374988556,dances,p_97
14,1.0022425112055089e-09,0.8323211073875427,dances,p_97
15,3.842778184548479e-08,0.2699768841266632,dances,p_97
16,4.1522635996216195e-08,0.34574347734451294,dances,p_97
17,1.172192032328212e-08,0.17101773619651794,dances,p_97
18,8.754957647738593e-09,0.13263849914073944,dances,p_97
19,1.769117852212787e-09,0.7512699961662292,dances,p_97
20,1.2989744835323336e-09,0.7749497890472412,dances,p_97
21,1.9148748364727908e-08,0.6127843260765076,dances,p_97
22,1.7063390700400305e-08,0.15423601865768433,dances,p_97
23,4.939351327948316e-08,0.3443523049354553,dances,p_97
24,2.7845177896779205e-07,0.13154789805412292,dances,p_97
25,1.3216392744652694e-06,0.03331227973103523,dances,p_97
26,1.5015297094578273e-07,0.19546382129192352,dances,p_97
27,2.1101361369346705e-07,0.17379523813724518,dances,p_97
0,2.8772008775490576e-08,0.1547909826040268,dances,p_98
1,2.1421215024020057e-08,0.17621345818042755,dances,p_98
2,3.356067779236582e-08,0.07193683087825775,dances,p_98
3,8.67220961708881e-09,0.19830898940563202,dances,p_98
4,1.660165871442132e-08,0.2687928378582001,dances,p_98
5,9.040171278229536e-08,0.12120450288057327,dances,p_98
6,8.285670816121637e-09,0.6161806583404541,dances,p_98
7,2.1753235657229197e-08,0.08187780529260635,dances,p_98
8,4.2465476468578345e-08,0.2708722949028015,dances,p_98
9,5.449440365623559e-08,0.1646554321050644,dances,p_98
10,8.342609270073353e-09,0.11890935897827148,dances,p_98
11,2.8255508155439202e-08,0.07823517918586731,dances,p_98
12,1.2427669560111099e-08,0.15244333446025848,dances,p_98
13,7.850988303914619e-09,0.183990478515625,dances,p_98
14,6.363669591280541e-09,0.12576135993003845,dances,p_98
15,8.253113037426374e-08,0.08925004303455353,dances,p_98
16,1.4469961229224282e-07,0.08232928067445755,dances,p_98
17,1.8996627204614924e-07,0.15591175854206085,dances,p_98
18,1.3884452698675886e-07,0.10954270511865616,dances,p_98
19,9.174512261012069e-10,0.7198855876922607,dances,p_98
20,7.456632644675665e-09,0.19057486951351166,dances,p_98
21,6.175770117522461e-09,0.2834412753582001,dances,p_98
22,3.6142846493447678e-09,0.2080269306898117,dances,p_98
23,3.454226060739529e-08,0.06545931100845337,dances,p_98
24,1.6161401106273843e-07,0.09190899133682251,dances,p_98
25,1.2294904649934324e-07,0.1284206509590149,dances,p_98
26,2.297486645375102e-08,0.5170251131057739,dances,p_98
27,4.69025872007478e-06,0.23009006679058075,dances,p_98
0,8.045604715789523e-08,0.07551289349794388,dances,p_99
1,9.44780396139322e-08,0.07976233214139938,dances,p_99
2,1.2488817446865141e-07,0.06459538638591766,dances,p_99
3,1.78519130145105e-07,0.2522861659526825,dances,p_99
4,7.248360702760692e-07,0.08445604890584946,dances,p_99
5,3.1061520076036686e-06,0.0763261616230011,dances,p_99
6,2.777803729259176e-07,0.16908080875873566,dances,p_99
7,1.4130839645076776e-06,0.08492561429738998,dances,p_99
8,2.761062205536291e-06,0.04809994623064995,dances,p_99
9,2.701907249047508e-07,0.3123266398906708,dances,p_99
10,4.346342308281237e-08,0.9573488235473633,dances,p_99
11,3.275948756709113e-07,0.9129588007926941,dances,p_99
12,1.811675076623942e-08,0.9769715666770935,dances,p_99
13,7.804949575529463e-09,0.9902316927909851,dances,p_99
14,1.1858013237997511e-07,0.8439091444015503,dances,p_99
15,3.149735050556046e-07,0.917709469795227,dances,p_99
